concert_id,song_concert_index,song_title,song_subtitle,song_by,song_arr_by,song_soloists,song_accompanists,chorus_ids
45_holiday,1,Music of Living,,Dan Forrest,,,,WCGC;WCTQ
45_holiday,2,In the Bleak Midwinter,,Abbie Betinis,,Ivette Fernandez;Javan Whitney-Warner;Johanna Moffitt,,WCGC;WCTQ
45_holiday,3,Angels Among Us,,Bronwyn Edwards;Ken Medema,,Arthur Stark;Casey Daniels,,WCGC;WCTQ
45_holiday,4,"Wankantanhan Hotan’Inpe (From above, they are making their voices heard)",,Traditional Lakota Sioux Spiritual,Linthicum-Blackhorse,Todd McConville,Sharon Lee;Christopher Owen,WCGC
45_holiday,5,Zikr,,A.R. Rahman,Ethan Sperry,,,WCGC
45_holiday,6,Hold Out Your Light,,Traditional Spiritual,Stacey V. Gibbs,,,WCGC
45_holiday,7,The Ecstasies Above,,Tarik O’Regan,,"Beth Bellinger;Bronwyn Schlaefer;Jeff Oliveira;Tadhg Duhigg;Johanna Moffitt,Kandise Le Blanc;Kevin Malone;Pedro Escobar",Elizabeth Brathwaite;Katie Klocke;Brittany Nelson;Wei Lu Denton,WCGC;WCTQ
45_holiday,8,Solstice Carole,,Kim Baryluk,Scott Reimer,,,WCTQ
45_holiday,9,Would You Harbor Me,,Ysaye M. Barnwell,,,,WCTQ
45_holiday,10,Chante Waste Hoksila (My Kind-Hearted Boy),,Traditional Lakota Lullaby,Linthicum-Blackhorse,,,WCTQ
45_holiday,11,So Fair and Bright,,Bob Chilcott,,,,WCTQ
45_holiday,12,Moonlight Sound Design,,Raimonds Tiguls,,Kendra Zzyzwyck,Lígia Pucci,WCCQ
45_holiday,13,Dawn and Dusk (Fajar dan Senja),,Ken Steven,,,,WCCQ
45_holiday,14,Christmas Time is Here,,Vince Guaraldi,Steve Zegree,,,WCCQ
45_holiday,15,Nutcracker Jingles,,James Pierpont,Chuck Bridwell,,,WCGC;WCTQ
45_holiday,16,Bidi Bom,,David Eddleman,,,,WCGC;WCTQ
45_holiday,17,"Ana El Na (Please, God, Heal Us)",,Karen Siegel,,,,WCGC;WCTQ
45_holiday,18,12 Days of Christmas,,,Richard Gregory;Ken Purchase,Neal Davis-Ruperto;Joe Lusignan;Bill Colson,,WCGC;WCTQ
45_holiday,19,Es Tu Tiempo,,Francisco Nuñez,,Nicole S. Parrini,,WCGC;WCTQ
45_holiday,20,Love is Love is Love is Love,,Abbie Betinis,,,,WCGC;WCTQ
45_holiday,21,Deck the Halls,,Traditional,Francisco Nuñez,Bobby Arnold,,WCGC;WCTQ
